post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_image,attribute_data:pa_image,attribute_default:pa_image,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Quilted Shoulder Bag",quilted-shoulder-bag,,991,"<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_fashion_33_b_4"" width=""850"" height=""1110"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_b_4.jpg"" />									
			<h4>The Iconic Silhouette</h4>		
		He garments labelled as Committed are products that have been produced using sustainable fibers or processes, reducing their environmental impact. Mango's goal is to support the implementation of practices more committed to the environment, and therefore increase the number of sustainable garments in the collection.		
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
				<p>Cotton 100%</p>			
			<h6>Wearing</h6>		
				<p>Model is 1.84 m wearing<br />size M</p>			
			<h6>Washing Instructions</h6>		
										<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores.",publish,,0,"2021-12-03 03:49:36",1,open,,,,no,no,,29,19,,,,,,visible,instock,no,no,,no,taxable,667|877|880|902|883,,,2022-04-01,2023-04-01,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_b_1.jpg ! alt :  ! title : product_fashion_33_b_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_b_3.jpg ! alt :  ! title : product_fashion_33_b_3 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_b_4.jpg ! alt :  ! title : product_fashion_33_b_4 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_b_2.jpg ! alt :  ! title : product_fashion_33_b_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_a_1.jpeg ! alt :  ! title : product_fashion_33_a_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_a_4.jpg ! alt :  ! title : product_fashion_33_a_4 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_33_a_2.jpg ! alt :  ! title : product_fashion_33_a_2 ! desc :  ! caption : ",,http://localhost/egifts/product/quilted-shoulder-bag/,Brook,simple,outofstock,"Fashion > Leather Bag",Bags|Minimog,,,,,,,,,,,,,
"Wool-blend Jacket",wool-blend-jacket,,1105,"<h4>The Iconic Silhouette</h4>		
		He garments labelled as Committed are products that have been produced using sustainable fibers or processes, reducing their environmental impact. Mango's goal is to support the implementation of practices more committed to the environment, and therefore increase the number of sustainable garments in the collection.		
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_fashion_15_b_4"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_fashion_15_b_4-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_fashion_15_b_3"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_fashion_15_b_3-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_fashion_15_b_2"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_fashion_15_b_2-370x494.jpg"" />				
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
										Outer: Polyamide 30%									
										Lining: Polyester 70%									
			<h6>Wearing</h6>		
				Model is 1.84 m wearing size M			
			<h6>Washing Instructions</h6>		
										<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","A modern take on the classic striped tee, in a relaxed, slightly cropped fit. Made with eco-friendly hemp and super-soft 100% organic cotton.",publish,,0,"2021-12-15 08:55:20",1,open,,,,no,no,,39,29,,,,,,visible,instock,no,no,,no,taxable,667|880|902|906|883,,,2022-04-01,2023-04-01,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_a_1.jpg ! alt :  ! title : product_fashion_15_a_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_a_6.jpg ! alt :  ! title : product_fashion_15_a_6 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_a_2.jpg ! alt :  ! title : product_fashion_15_a_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_a_4.jpg ! alt :  ! title : product_fashion_15_a_4 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_b_1.jpg ! alt :  ! title : product_fashion_15_b_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_b_2.jpg ! alt :  ! title : product_fashion_15_b_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_b_3.jpg ! alt :  ! title : product_fashion_15_b_3 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_fashion_15_b_4.jpg ! alt :  ! title : product_fashion_15_b_4 ! desc :  ! caption : ",,http://localhost/egifts/product/wool-blend-jacket/,Abby,simple,outofstock,"Fashion > Jackets",,,,,,,,,,,,,,
"Large Asymmetric Earrings",large-asymmetric-earrings,,2342,"<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_07_1"" width=""850"" height=""1110"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_07_1.jpg"" />									
			<h4>The Iconic Silhouette</h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
				<p>Cotton 100%</p>			
			<h6>Wearing</h6>		
				<p>Model is 1.84 m wearing<br />size M</p>			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 12:46:52",1,open,,,,no,no,500,295,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_16_3.jpg ! alt :  ! title : product_jewelry_16_3 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_16_1.jpg ! alt :  ! title : product_jewelry_16_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_16_2.jpg ! alt :  ! title : product_jewelry_16_2 ! desc :  ! caption : ",,http://localhost/egifts/product/large-asymmetric-earrings/,Minimog,simple,,Jewelry,,,,,,,,,,,,,,
"Blue Sapphire Clicker",blue-sapphire-clicker,,2394,"<h4>The Iconic Silhouette</h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_10_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_10_1-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_03_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_03_1-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_16_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_16_1-370x494.jpg"" />				
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
										Outer: Polyamide 30%									
										Lining: Polyester 70%									
			<h6>Wearing</h6>		
				Model is 1.84 m wearing size M			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 12:52:34",1,open,,,,no,no,450,99,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_15_3.jpg ! alt :  ! title : product_jewelry_15_3 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_15_1.jpg ! alt :  ! title : product_jewelry_15_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_15_2.jpg ! alt :  ! title : product_jewelry_15_2 ! desc :  ! caption : ",,http://localhost/egifts/product/blue-sapphire-clicker/,Vagabond,simple,,Jewelry,,,,,,,,,,,,,,
"Diamond Chain Earrings",diamond-chain-earrings,,2397,"<h4>Yellow Gold plated sterling silver </h4>		
		Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.		
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
										Outer: Polyamide 30%									
										Lining: Polyester 70%									
			<h6>Wearing</h6>		
				Model is 1.84 m wearing size M			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry			
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_15_2"" width=""670"" height=""400"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_15_2-670x400.jpg"" />									
			<h6>Poplin top with ruffle trim</h6>		
				We believe in crafting pieces where sustainability and style go hand in hand. Made from materials like recycled cashmere and sust","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 12:55:08",1,open,,,,no,no,450,320,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_14_2.jpg ! alt :  ! title : product_jewelry_14_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_14_1.jpg ! alt :  ! title : product_jewelry_14_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_14_3.jpg ! alt :  ! title : product_jewelry_14_3 ! desc :  ! caption : ",,http://localhost/egifts/product/diamond-chain-earrings/,Abby,simple,,Jewelry,,,,,,,,,,,,,,
"Diamond Hoop Earrings",diamond-hoop-earrings,,2399,"<h4>The Iconic Silhouette</h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_10_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_10_1-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_03_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_03_1-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_16_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_16_1-370x494.jpg"" />				
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
										Outer: Polyamide 30%									
										Lining: Polyester 70%									
			<h6>Wearing</h6>		
				Model is 1.84 m wearing size M			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 12:59:47",1,open,,,,no,no,450,150,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_13_2.jpg ! alt :  ! title : product_jewelry_13_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_13_1.jpg ! alt :  ! title : product_jewelry_13_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_13_3.jpg ! alt :  ! title : product_jewelry_13_3 ! desc :  ! caption : ",,http://localhost/egifts/product/diamond-hoop-earrings/,Minimog,simple,,Jewelry,,,,,,,,,,,,,,
"Emerald Gem Earrings",emerald-gem-earrings,,2401,"<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_07_1"" width=""850"" height=""1110"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_07_1.jpg"" />									
			<h4>The Iconic Silhouette</h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
				<p>Cotton 100%</p>			
			<h6>Wearing</h6>		
				<p>Model is 1.84 m wearing<br />size M</p>			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 13:07:40",1,open,,,,no,no,450,319,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_12_2.jpg ! alt :  ! title : product_jewelry_12_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_12_1.jpg ! alt :  ! title : product_jewelry_12_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_12_3.jpg ! alt :  ! title : product_jewelry_12_3 ! desc :  ! caption : ",,http://localhost/egifts/product/emerald-gem-earrings/,Minimog,simple,,Jewelry,,,,,,,,,,,,,,
"Round Flow Asymmetric Earrings",round-flow-asymmetric-earrings,,2404,"<h4>The Iconic Silhouette</h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_10_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_10_1-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_03_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_03_1-370x494.jpg"" />				
					<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_16_1"" width=""370"" height=""494"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_16_1-370x494.jpg"" />				
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
										Outer: Polyamide 30%									
										Lining: Polyester 70%									
			<h6>Wearing</h6>		
				Model is 1.84 m wearing size M			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 13:14:13",1,open,,,,no,no,450,295,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_11_2.jpg ! alt :  ! title : product_jewelry_11_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_11_1.jpg ! alt :  ! title : product_jewelry_11_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_11_3.jpg ! alt :  ! title : product_jewelry_11_3 ! desc :  ! caption : ",,http://localhost/egifts/product/round-flow-asymmetric-earrings/,Abby,simple,,Jewelry,,,,,,,,,,,,,,
"Graceful Hoop Earrings",graceful-hoop-earrings,,2406,"<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_07_1"" width=""850"" height=""1110"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_07_1.jpg"" />									
			<h4>The Iconic Silhouette</h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
				<p>Cotton 100%</p>			
			<h6>Wearing</h6>		
				<p>Model is 1.84 m wearing<br />size M</p>			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 13:16:25",1,open,,,,no,no,450,895,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_10_3.jpg ! alt :  ! title : product_jewelry_10_3 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_10_1.jpg ! alt :  ! title : product_jewelry_10_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_10_2.jpg ! alt :  ! title : product_jewelry_10_2 ! desc :  ! caption : ",,http://localhost/egifts/product/graceful-hoop-earrings/,Minimog,simple,,Jewelry,,,,,,,,,,,,,,
"Long Pearl Shower Earrings",long-pearl-shower-earrings,,2408,"<h4>Yellow Gold plated sterling silver </h4>		
		<p>Match with your favorite chains and pendants for a timeless stack. Perfect for everyday wear or to add some extra drip to your little black dress, either way you're sure to get some much deserved attention.</p>		
			<h6>Infomation</h6>		
										Cutaway collar									
										Front button fastening									
										Chest patch pocket									
										Long sleeves									
			<h6>Composition</h6>		
										Outer: Polyamide 30%									
										Lining: Polyester 70%									
			<h6>Wearing</h6>		
				Model is 1.84 m wearing size M			
			<h6>Washing Instructions</h6>		
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""washing-instruction"" width=""183"" height=""36"" data-src=""http://localhost/egifts/wp-content/uploads/2021/12/washing-instruction.png"" />									
				Machine wash, no ironing,
don’t dry clean, don’t tumble dry			
											<img  src=""https://minimog.thememove.com/wp-content/themes/minimog/assets/images/placeholder-transparent.png"" alt=""product_jewelry_15_2"" width=""670"" height=""400"" data-src=""https://minimog.thememove.com/wp-content/uploads/2021/12/product_jewelry_15_2-670x400.jpg"" />									
			<h6>Poplin top with ruffle trim</h6>		
				We believe in crafting pieces where sustainability and style go hand in hand. Made from materials like recycled cashmere and sust","Metal - 14 kt yellow gold plated sterling silver and Sold as Pair of earrings",publish,,0,"2021-11-13 13:17:36",1,open,,,,no,no,450,212,,,,,,,visible,instock,no,no,,yes,taxable,667|880|902|906|883,,,,,'-1,'-1,,,"http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_09_2.jpg ! alt :  ! title : product_jewelry_09_2 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_09_1.jpg ! alt :  ! title : product_jewelry_09_1 ! desc :  ! caption :  | http://localhost/egifts/wp-content/uploads/2021/12/product_jewelry_09_3.jpg ! alt :  ! title : product_jewelry_09_3 ! desc :  ! caption : ",,http://localhost/egifts/product/long-pearl-shower-earrings/,Minimog,simple,,Jewelry,,,,,,,,,,,,,,
